,district,fiyat,,update_date,m2_brut,bina_yasi,kat_sayisi,kullanim_durumu,banyo_sayisi,creation_date,Type,m2_net,oda_sayisi,bulundugu_kat,isitma_tip,site
70,arnavutkoy,"585,000TL",,20 Şubat 2022,120 m2,0 (Yeni),4,Mülk Sahibi Oturuyor,1,20 Şubat 2022,Konut,110 m2,3+1,Yüksek Giriş,Kombi Doğalgaz,Hayır
71,arnavutkoy,"940,000TL",,19 Şubat 2022,95 m2,15-Nov,14,Kiracı Oturuyor,1,19 Şubat 2022,Konut,73 m2,2+1,2. Kat,Kombi Doğalgaz,Evet
72,arnavutkoy,"520,000TL",,18 Şubat 2022,55 m2,1,4,Mülk Sahibi Oturuyor,1,18 Şubat 2022,Konut,45 m2,1+1,Yüksek Giriş,Kombi Doğalgaz,Hayır
73,arnavutkoy,"700,000TL",,18 Şubat 2022,90 m2,4,6,Mülk Sahibi Oturuyor,1,18 Şubat 2022,Konut,80 m2,2+1,2. Kat,Kombi Doğalgaz,Hayır
74,arnavutkoy,"890,000TL",,28 Şubat 2022,85 m2,0 (Yeni),5,Mülk Sahibi Oturuyor,1,19 Şubat 2022,Konut,80 m2,2+1,2. Kat,Kombi Doğalgaz,Hayır
75,arnavutkoy,"1,275,000TL",,28 Şubat 2022,175 m2,0 (Yeni),5,Mülk Sahibi Oturuyor,2,19 Şubat 2022,Konut,160 m2,3+2,5. Kat,Kombi Doğalgaz,Hayır
76,arnavutkoy,"420,000TL",,17 Şubat 2022,70 m2,10-May,5,Kiracı Oturuyor,1,17 Şubat 2022,Konut,65 m2,1+1,2. Kat,Kombi Doğalgaz,Hayır
77,arnavutkoy,"1,100,000TL",,17 Şubat 2022,120 m2,10-May,1,Mülk Sahibi Oturuyor,1,17 Şubat 2022,Konut,110 m2,3+1,Bahçe Katı,Doğalgaz Sobalı,Hayır
78,arnavutkoy,"2,000,000TL",,28 Şubat 2022,120 m2,21 Ve Üzeri,5,Kiracı Oturuyor,1,17 Şubat 2022,Konut,115 m2,3+1,Müstakil,Doğalgaz Sobalı,Hayır
79,arnavutkoy,"6,000,000TL",,17 Şubat 2022,300 m2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,2,17 Şubat 2022,Konut,240 m2,6+2,Villa Tipi,Kombi Doğalgaz,Hayır
80,arnavutkoy,"725,000TL",,18 Şubat 2022,105 m2,10-May,5,Mülk Sahibi Oturuyor,1,17 Şubat 2022,Konut,90 m2,2+1,2. Kat,Kombi Doğalgaz,Hayır
81,arnavutkoy,"875,000TL",,28 Şubat 2022,115 m2,0 (Yeni),5,Mülk Sahibi Oturuyor,1,17 Şubat 2022,Konut,105 m2,3+1,2. Kat,Kombi Doğalgaz,Hayır
82,arnavutkoy,"875,000TL",,28 Şubat 2022,115 m2,0 (Yeni),5,Mülk Sahibi Oturuyor,1,17 Şubat 2022,Konut,105 m2,3+1,1. Kat,Kombi Doğalgaz,Hayır
83,arnavutkoy,"950,000TL",,15 Şubat 2022,95 m2,15-Nov,11,Kiracı Oturuyor,1,15 Şubat 2022,Konut,73 m2,2+1,7. Kat,Kombi Doğalgaz,Evet
84,arnavutkoy,"525,000TL",,14 Şubat 2022,95 m2,4,4,Mülk Sahibi Oturuyor,1,14 Şubat 2022,Konut,90 m2,2+1,Yüksek Giriş,Kombi Doğalgaz,Hayır
85,arnavutkoy,"429,000TL",,14 Şubat 2022,105 m2,10-May,6,Mülk Sahibi Oturuyor,1,14 Şubat 2022,Konut,100 m2,2+1,Çatı Katı,Kombi Doğalgaz,Hayır
86,arnavutkoy,"555,000TL",,28 Şubat 2022,130 m2,15-Nov,6,Mülk Sahibi Oturuyor,1,14 Şubat 2022,Konut,120 m2,3+1,Kot 2 (-2). Kat,Kombi Doğalgaz,Hayır
87,arnavutkoy,"1,200,000TL",,01 Mart 2022,200 m2,0 (Yeni),4,Boş,2,12 Şubat 2022,Konut,190 m2,4+2,Bahçe Dublex,Kombi Doğalgaz,Hayır
88,arnavutkoy,"870,000TL",,01 Mart 2022,140 m2,0 (Yeni),4,Boş,1,12 Şubat 2022,Konut,130 m2,3+1,2. Kat,Kombi Doğalgaz,Hayır
89,arnavutkoy,"619,000TL",,12 Şubat 2022,100 m2,0 (Yeni),5,Mülk Sahibi Oturuyor,1,12 Şubat 2022,Konut,90 m2,2+1,1. Kat,Kombi Doğalgaz,Hayır
90,arnavutkoy,"1,350,000TL",,12 Şubat 2022,250 m2,0 (Yeni),5,Mülk Sahibi Oturuyor,2,12 Şubat 2022,Konut,230 m2,6+2,4. Kat,Kombi Doğalgaz,Hayır
91,arnavutkoy,"550,000TL",,12 Şubat 2022,115 m2,10-May,7,Mülk Sahibi Oturuyor,1,12 Şubat 2022,Konut,100 m2,3+1,Bahçe Katı,Kombi Doğalgaz,Hayır
92,arnavutkoy,"750,000TL",,12 Şubat 2022,100 m2,0 (Yeni),4,Boş,1,12 Şubat 2022,Konut,95 m2,2+1,2. Kat,Kombi Doğalgaz,Hayır
93,arnavutkoy,"1,700,000TL",,11 Şubat 2022,285 m2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,4,11 Şubat 2022,Konut,275 m2,6+2,Düz Giriş,Kombi Doğalgaz,Hayır
94,arnavutkoy,"10,000,000TL",,09 Şubat 2022,700 m2,10-May,3,Kiracı Oturuyor,1,09 Şubat 2022,Konut,695 m2,2+1,Kot 3 (-3). Kat,Kombi Doğalgaz,Hayır
95,arnavutkoy,"700,000TL",,10 Şubat 2022,185 m2,0 (Yeni),5,Mülk Sahibi Oturuyor,2,10 Şubat 2022,Konut,170 m2,3+2,Düz Giriş,Kombi Doğalgaz,Hayır
96,arnavutkoy,"725,000TL",,10 Şubat 2022,180 m2,2,5,Mülk Sahibi Oturuyor,2,10 Şubat 2022,Konut,160 m2,3+1,4. Kat,Kombi Doğalgaz,Hayır
97,arnavutkoy,"350,000TL",,17 Şubat 2022,1.000 m2,10-May,2,Boş,1,10 Şubat 2022,Konut,1 m2,3+1,Müstakil,Sobalı,Hayır
98,arnavutkoy,"700,000TL",,24 Şubat 2022,80 m2,0 (Yeni),5,Boş,1,09 Şubat 2022,Konut,75 m2,2+1,Yüksek Giriş,Kombi Doğalgaz,Hayır
99,arnavutkoy,"500,000TL",,24 Şubat 2022,110 m2,0 (Yeni),5,Boş,1,09 Şubat 2022,Konut,100 m2,2+1,2. Kat,Kombi Doğalgaz,Hayır
100,arnavutkoy,"2,875,999TL",,03 Mart 2022,210 m2,15-Nov,3,Mülk Sahibi Oturuyor,2,10 Şubat 2022,Konut,180 m2,5+2,Düz Giriş,Kombi Doğalgaz,Hayır
101,arnavutkoy,"670,000TL",,18 Şubat 2022,100 m2,0 (Yeni),4,Mülk Sahibi Oturuyor,1,09 Şubat 2022,Konut,90 m2,2+1,1. Kat,Kombi Doğalgaz,Hayır
102,arnavutkoy,"920,000TL",,01 Mart 2022,107 m2,0 (Yeni),5,Mülk Sahibi Oturuyor,2,08 Şubat 2022,Konut,100 m2,2+1,5. Kat,Kombi Doğalgaz,Hayır
103,arnavutkoy,"675,000TL",,08 Şubat 2022,170 m2,3,4,Mülk Sahibi Oturuyor,1,07 Şubat 2022,Konut,160 m2,3+1,Çatı Katı,Kombi Doğalgaz,Hayır
104,arnavutkoy,"315,000TL",,07 Şubat 2022,85 m2,10-May,5,Boş,1,07 Şubat 2022,Konut,1 m2,2+1,Bahçe Katı,Doğalgaz Sobalı,Hayır
105,arnavutkoy,"800,000TL",,08 Şubat 2022,135 m2,3,6,Mülk Sahibi Oturuyor,1,07 Şubat 2022,Konut,125 m2,3+1,2. Kat,Kombi Doğalgaz,Hayır
106,arnavutkoy,"1,050,000TL",,07 Şubat 2022,220 m2,4,4,Boş,2,07 Şubat 2022,Konut,200 m2,4+2,Çatı Dubleks,Kombi Doğalgaz,Hayır
107,arnavutkoy,"1,800,000TL",,08 Şubat 2022,272 m2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,3,08 Şubat 2022,Konut,135 m2,3+1,Müstakil,Kombi Doğalgaz,Hayır
108,arnavutkoy,"8,000,000TL",,02 Mart 2022,844 m2,15-Nov,2,Mülk Sahibi Oturuyor,3,08 Şubat 2022,Konut,843 m2,5+1,Düz Giriş,Kombi Doğalgaz,Hayır
109,arnavutkoy,"8,000,000TL",,02 Mart 2022,844 m2,15-Nov,2,Mülk Sahibi Oturuyor,3,08 Şubat 2022,Konut,843 m2,5+1,Düz Giriş,Kombi Doğalgaz,Hayır
110,arnavutkoy,"800,000TL",,07 Şubat 2022,170 m2,3,4,Mülk Sahibi Oturuyor,2,07 Şubat 2022,Konut,150 m2,4+2,3. Kat,Kombi Doğalgaz,Hayır
111,arnavutkoy,"630,000TLarrow_downward%8",,12 Şubat 2022,110 m2,16-20,5,Boş,1,02 Şubat 2022,Konut,100 m2,2+1,1. Kat,Kombi Doğalgaz,Hayır
112,arnavutkoy,"900,000TL",,01 Şubat 2022,175 m2,15-Nov,4,Kiracı Oturuyor,1,01 Şubat 2022,Konut,163 m2,3+1,1. Kat,Kombi Doğalgaz,Hayır
113,arnavutkoy,"950,000TL",,01 Şubat 2022,130 m2,1,4,Boş,1,01 Şubat 2022,Konut,120 m2,2+1,1. Kat,Kombi Doğalgaz,Hayır
114,arnavutkoy,"465,000TL",,02 Şubat 2022,128 m2,4,7,Boş,4,02 Şubat 2022,Konut,127 m2,1+1,Çatı Dubleks,Merkezi (Pay Ölçer),Hayır
115,arnavutkoy,"800,000TL",,26 Şubat 2022,204 m2,10-May,2,Kiracı Oturuyor,2,02 Şubat 2022,Konut,90 m2,2+1,Müstakil,Kombi Doğalgaz,Hayır
116,arnavutkoy,"278,000TL",,02 Mart 2022,95 m2,15-Nov,5,Boş,1,02 Şubat 2022,Konut,85 m2,1+1,Düz Giriş,Kombi Doğalgaz,Hayır
117,arnavutkoy,"810,000TL",,01 Şubat 2022,185 m2,0 (Yeni),3,Boş,2,01 Şubat 2022,Konut,170 m2,3+2,Çatı Dubleks,Kombi Doğalgaz,Hayır
118,arnavutkoy,"1,990,000TL",,03 Mart 2022,352 m2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,2,01 Şubat 2022,Konut,140 m2,3+2,Müstakil,Kombi Doğalgaz,Hayır
119,arnavutkoy,"6,250,000TL",,01 Şubat 2022,650 m2,15-Nov,4,Mülk Sahibi Oturuyor,3,29 Ocak 2022,Konut,600 m2,5+3,Müstakil,Kat Kaloriferi,Hayır
120,arnavutkoy,"650,000TL",,27 Şubat 2022,140 m2,0 (Yeni),4,Mülk Sahibi Oturuyor,1,30 Ocak 2022,Konut,130 m2,3+1,Düz Giriş,Kombi Doğalgaz,Hayır
121,arnavutkoy,"3,950,000TL",,29 Ocak 2022,590 m2,10-May,4,Boş,4,29 Ocak 2022,Konut,589 m2,6+3,Düz Giriş,Kombi Doğalgaz,Hayır
122,arnavutkoy,"700,000TL",,28 Ocak 2022,130 m2,0 (Yeni),5,Boş,1,28 Ocak 2022,Konut,110 m2,2+1,2. Kat,Kombi Doğalgaz,Hayır
123,arnavutkoy,"610,000TL",,30 Ocak 2022,100 m2,15-Nov,5,Kiracı Oturuyor,1,29 Ocak 2022,Konut,95 m2,2+1,4. Kat,Kombi Doğalgaz,Hayır
124,arnavutkoy,"720,000TL",,27 Ocak 2022,84 m2,2,10,Kiracı Oturuyor,1,27 Ocak 2022,Konut,70 m2,2+1,8. Kat,Merkezi (Pay Ölçer),Hayır
125,arnavutkoy,"715,000TL",,21 Şubat 2022,135 m2,4,4,Mülk Sahibi Oturuyor,1,23 Ocak 2022,Konut,125 m2,3+1,Yüksek Giriş,Kombi Doğalgaz,Hayır
126,arnavutkoy,"758,000TL",,01 Mart 2022,132 m2,15-Nov,3,Mülk Sahibi Oturuyor,1,23 Ocak 2022,Konut,128 m2,3+1,Yüksek Giriş,Kombi Doğalgaz,Hayır
127,arnavutkoy,"600,000TL",,21 Ocak 2022,120 m2,0 (Yeni),4,Boş,1,21 Ocak 2022,Konut,110 m2,2+1,Düz Giriş,Kombi Doğalgaz,Hayır
128,arnavutkoy,"700,000TL",,22 Ocak 2022,85 m2,10-May,10,Kiracı Oturuyor,1,22 Ocak 2022,Konut,75 m2,2+1,5. Kat,Merkezi (Pay Ölçer),Hayır
129,arnavutkoy,"1,350,000TL",,20 Ocak 2022,260 m2,0 (Yeni),4,Boş,2,20 Ocak 2022,Konut,250 m2,4+2,Kot 3 (-3). Kat,Kombi Doğalgaz,Hayır
130,arnavutkoy,"375,000TL",,01 Şubat 2022,100 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,1,19 Ocak 2022,Konut,1 m2,2+1,Yüksek Giriş,Kombi Doğalgaz,Hayır
131,arnavutkoy,"3,000,000TL",,17 Şubat 2022,325 m2,16-20,5,Kiracı Oturuyor,2,19 Ocak 2022,Konut,324 m2,3+1,Müstakil,Kombi Doğalgaz,Hayır
